Index	Frequency	A_1	A_2	DeltaF	DF_Lower	DF_Upper	Phi_1	Phi_1_Lower	Phi_1_Upper	Phi_2	Phi_2_Lower	Phi_2_Upper	Decay_1	Decay_2	BeatFreq	PhaseShift	ZeroOffset
26	22999.2680	2.7754e-02	1.2218e-02	4.3743e-01	4.3720e-01	4.3766e-01	2.7835e-07	2.7889e-07	2.7781e-07	2.6106e-07	2.8123e-07	2.4090e-07	4.9721e+01	5.3014e+01	0.4374	199.59	2.9971e-03
27	28420.9650	1.8130e-01	1.4994e-02	8.2837e-02	8.2781e-02	8.2894e-02	3.6792e-07	3.6926e-07	3.6659e-07	3.5057e-07	3.5487e-07	3.4626e-07	3.0441e+01	3.1948e+01	0.0828	85.27	3.7731e-03
28	28417.7520	1.6326e-01	1.3406e-02	8.2842e-02	8.2760e-02	8.2924e-02	3.7182e-07	3.7343e-07	3.7021e-07	3.5406e-07	3.6023e-07	3.4789e-07	3.0125e+01	3.1636e+01	0.0828	98.98	-4.9488e-03
29	28418.1960	1.7284e-01	1.4238e-02	8.2836e-02	8.2775e-02	8.2897e-02	3.7162e-07	3.7309e-07	3.7016e-07	3.5688e-07	3.6161e-07	3.5214e-07	3.0140e+01	3.1386e+01	0.0828	81.95	-5.2415e-03
30	28418.2520	2.5961e-01	2.1502e-02	8.2878e-02	8.2838e-02	8.2918e-02	3.7577e-07	3.7790e-07	3.7364e-07	3.5553e-07	3.5913e-07	3.5193e-07	2.9808e+01	3.1505e+01	0.0829	79.56	5.1505e-03
31	28418.1800	2.5264e-01	2.0802e-02	8.2874e-02	8.2837e-02	8.2912e-02	3.6853e-07	3.7023e-07	3.6682e-07	3.5315e-07	3.5642e-07	3.4989e-07	3.0394e+01	3.1717e+01	0.0829	86.49	-2.9635e-06
32	2518.9300	-4.0859e-01	-2.2767e-02	5.5681e-02	5.5675e-02	5.5687e-02	2.9707e-07	3.1028e-07	2.8386e-07	2.9797e-07	3.1236e-07	2.8358e-07	4.2538e+02	4.2410e+02	0.0557	331.50	-4.3770e-05
33	2518.9000	3.9845e-01	2.2227e-02	5.5668e-02	5.5663e-02	5.5673e-02	2.9928e-07	3.1013e-07	2.8843e-07	2.9311e-07	3.0466e-07	2.8156e-07	4.2225e+02	4.3113e+02	0.0557	324.50	7.1928e-03
34	2518.8700	3.1265e-01	1.7432e-02	5.5664e-02	5.5662e-02	5.5666e-02	2.9690e-07	2.9757e-07	2.9623e-07	3.0081e-07	3.0245e-07	2.9916e-07	4.2563e+02	4.2010e+02	0.0557	-29.26	1.8080e-06
35	2519.3560	3.9139e-01	2.1770e-02	5.5665e-02	5.5663e-02	5.5666e-02	2.9629e-07	2.9790e-07	2.9468e-07	2.9561e-07	2.9782e-07	2.9340e-07	4.2643e+02	4.2740e+02	0.0557	325.70	-6.8043e-06
36	5768.2360	4.9064e-03	2.7363e-04	5.8070e-02	5.6179e-02	5.9962e-02	2.8958e-07	2.8998e-07	2.8919e-07	1.9652e-06	2.6896e-06	1.2410e-06	1.9056e+02	2.8080e+01	0.0581	57.52	-1.0641e-06
37	5768.1440	8.4834e-03	2.3868e-03	3.0998e-01	3.0796e-01	3.1200e-01	2.9081e-07	2.9123e-07	2.9039e-07	1.6587e-06	2.3524e-06	9.6507e-07	1.8976e+02	3.3270e+01	0.3100	-14.07	5.4585e-06
38	10026.4700	1.8769e-01	6.4308e-04	2.9441e-03	2.9234e-03	2.9647e-03	3.4035e-07	3.5078e-07	3.2993e-07	3.0282e-07	3.0862e-07	2.9703e-07	9.3277e+01	1.0484e+02	0.0029	-144.79	1.2083e-06
39	10020.6500	2.1576e-01	4.6761e-04	2.8886e-03	2.8822e-03	2.8950e-03	3.2516e-07	3.2703e-07	3.2329e-07	2.9940e-07	3.0154e-07	2.9726e-07	9.7692e+01	1.0610e+02	0.0029	183.93	1.2469e-06
40	10020.5100	-2.3321e-01	-5.0672e-04	2.8901e-03	2.8834e-03	2.8969e-03	3.2900e-07	3.3144e-07	3.2657e-07	3.0296e-07	3.0522e-07	3.0070e-07	9.6552e+01	1.0485e+02	0.0029	-176.19	1.2917e-03
41	10020.4300	2.4765e-01	5.3421e-04	2.8875e-03	-inf	inf	3.2754e-07	inf	-inf	3.0177e-07	inf	-inf	9.6984e+01	1.0527e+02	0.0029	183.41	1.5089e-08
42	10020.3400	2.5794e-01	5.5693e-04	2.8882e-03	2.8821e-03	2.8944e-03	3.0279e-07	3.0493e-07	3.0065e-07	3.2785e-07	3.2994e-07	3.2576e-07	1.0491e+02	9.6893e+01	0.0029	-176.61	2.3326e-06
43	10020.4300	2.5405e-01	6.8412e-04	2.8796e-03	-inf	inf	3.2741e-07	inf	-inf	3.0015e-07	inf	-inf	9.7022e+01	1.0583e+02	0.0029	188.85	7.9363e-08
44	15308.5550	7.5263e-02	3.4241e-02	4.5855e-01	4.5850e-01	4.5861e-01	2.8627e-07	2.8678e-07	2.8576e-07	2.8728e-07	2.9450e-07	2.8006e-07	7.2633e+01	7.2379e+01	0.4586	386.94	9.4395e-03
45	22999.2800	3.2698e-02	1.4041e-02	4.3705e-01	4.3675e-01	4.3735e-01	2.7830e-07	2.7893e-07	2.7767e-07	2.7394e-07	3.0012e-07	2.4775e-07	4.9731e+01	5.0522e+01	0.4371	206.94	4.6138e-03
46	22999.1240	3.4022e-02	1.4423e-02	4.3676e-01	4.3647e-01	4.3706e-01	2.7639e-07	2.7692e-07	2.7586e-07	2.8386e-07	3.0937e-07	2.5836e-07	5.0074e+01	4.8757e+01	0.4368	178.75	-2.9604e-07
